stokesnum,a,e,i,node,peri,M,P,f,mass,PlanetNum,mrRad_ChenKipping
1e-05,0.06179930000000001,0.03542908,0.01995084,-1.577509,0.04784579,0.41244390000000003,0.01536296,2.007046,1.392524e-06,0.0,0.8238621777826179
1e-05,0.07433557,0.02867367,0.0695381,-1.823425,2.648847,6.007028,0.02026724,5.129638,5.956392e-07,23.0,0.6514649145144575
1e-05,0.09023203,0.04515679,0.03391076,-1.244035,4.031821,1.928148,0.02710444,5.352572,1.153923e-06,36.0,0.7773253870997809
1e-05,0.11420930000000001,0.01493127,0.01294925,2.5856470000000003,3.25116,4.095394000000001,0.03859677,4.51244,1.5115969999999998e-06,55.0,0.8267978495348864
1e-05,0.1433514,0.02344368,0.04881584,-0.06613268,5.970511,0.9873334,0.05427523,1.412308,9.139221999999999e-07,88.0,0.7351144937879376
1e-05,0.17750610000000003,0.02676538,0.02219356,-0.5811092,2.791673,5.39346,0.07478571,3.180757,1.157328e-06,105.0,0.7630979423641033
1e-05,0.21705700000000003,0.01979519,0.00445256,2.711215,2.3126330000000004,3.122739,0.10112510000000001,4.344933,9.315013000000001e-07,127.0,0.7180414285173204
1e-05,0.27477890000000005,0.01176617,0.02449256,0.9427639999999999,0.8808584,2.037738,0.14403670000000002,0.21918890000000002,1.389375e-06,143.0,0.787881719089609
1e-05,0.3649074,0.01152014,0.0076631930000000004,-0.02201755,0.8900002,5.892004,0.2204304,5.001995,1.087268e-06,182.0,0.7600722359317666
1e-05,0.4902492,0.009137384,0.0038815,-2.130659,4.687952,5.831048,0.34326,3.2713740000000002,1.236013e-06,171.0,0.7908157993058327
1e-05,0.6239182,0.03676171,0.01996166,0.9374140999999999,4.518841,5.890651,0.49282040000000005,0.4666763,1.036079e-06,221.0,0.7345407228870566
1e-05,0.7990522,0.05030974,0.02436915,2.7144310000000003,3.207826,3.626123,0.7142662,3.914843,8.547516999999999e-07,196.0,0.6991486133602824
1e-05,0.9605379999999999,0.0737135,0.07994324,3.055948,3.7614,5.8451889999999995,0.9413884,5.182935,3.33889e-07,283.0,0.5447200280330097
1e-05,1.2523440000000001,0.07040324,0.04797643,-2.125121,3.748362,3.381335,1.4014659999999999,1.893789,1.0482849999999999e-07,266.0,0.39523331541431816
1e-05,1.4524629999999998,0.2864195,0.009069622,-0.23966479999999996,0.5875994999999999,3.969735,1.7504689999999998,3.4225269999999997,6.482569e-08,312.0,0.3439628453792697
1.07e-05,0.05883551,0.02199677,0.06157012,-1.102771,4.537113,4.002072,0.01427114,0.5919449999999999,2.163789e-06,0.0,0.9192047631416869
1.07e-05,0.08585019,0.04506503,0.03779337,-1.326125,2.5459080000000003,1.045037,0.02515423,6.091851999999999,1.931434e-06,26.0,0.8904210800755459
1.07e-05,0.1120099,0.05502952,0.05953647,0.34363119999999997,1.737927,4.498224,0.03748722,2.486008,1.1881390000000001e-06,67.0,0.7783137285765912
1.07e-05,0.1513717,0.02263546,0.02693887,2.4269819999999998,2.873918,1.259026,0.05889326,2.276161,1.7897210000000001e-06,92.0,0.8684253313778658
1.07e-05,0.19802160000000002,0.04567001,0.04131786,-2.550389,5.748919,2.039275,0.08811848,5.038366000000001,1.1194200000000002e-06,123.0,0.7852243525641659
1.07e-05,0.23713289999999998,0.04787066,0.0269774,2.0670669999999998,5.03106,2.92365,0.1154745,2.188396,8.843719e-07,120.0,0.7250950064326018
1.07e-05,0.2980198,0.002440461,0.0256118,2.295764,0.9509091999999999,3.793203,0.16269170000000002,0.5490729999999999,1.0826789999999999e-06,157.0,0.7498322259602429
1.07e-05,0.36583509999999997,0.03219411,0.03636316,2.581424,3.0999779999999997,2.0380849999999997,0.2212715,2.669775,9.812939e-07,190.0,0.743737476614573
1.07e-05,0.4681477,0.04905019,0.01446021,-1.0332299999999999,0.08715,5.5356510000000005,0.32031079999999995,0.21912820000000002,1.183002e-06,206.0,0.7742700707290954
1.07e-05,0.5942105,0.01529553,0.03452398,-0.4903767,5.760194,4.490385,0.4580444,5.481957,1.127107e-06,223.0,0.7554263737203537
1.07e-05,0.6965170999999999,0.06510224,0.03546928,1.8095400000000001,4.742397,3.0870490000000004,0.5812924,2.856682,4.472128e-07,261.0,0.5895159587338501
1.07e-05,0.9038546999999999,0.03303784,0.03011917,1.110895,1.535374,2.372633,0.8592998,5.990956,9.387158e-07,270.0,0.7348134049843633
1.07e-05,1.1065,0.08272301,0.08896201,-2.964979,1.728223,1.553892,1.163923,2.842453,2.136341e-07,297.0,0.48248332899575547
1.15e-05,0.04972584,0.02299305,0.09289533,-1.040025,2.906604,4.7668919999999995,0.01108851,2.911003,9.980031e-07,0.0,0.7293965003516829
1.15e-05,0.06051594,0.05177567,0.06855889,-0.3811434,4.428672,1.3415920000000001,0.0148869,3.5359879999999997,1.544494e-06,15.0,0.846797954001074
1.15e-05,0.07901158,0.009686272,0.04803266,-0.7148796,4.031174,2.33657,0.02220932,5.287267,1.360165e-06,38.0,0.82075282514084
1.15e-05,0.09852791,0.01155338,0.03964734,-2.568362,0.46690600000000004,5.6333519999999995,0.03092699,1.474603,1.593107e-06,60.0,0.8471656633491869
1.15e-05,0.13535439999999999,0.01341409,0.02489906,-9.353831e-05,3.055078,2.4426490000000003,0.04979746,5.655215,1.737518e-06,70.0,0.8652761741042212
1.15e-05,0.1736411,0.06103888,0.01946935,1.527965,1.39582,0.6775751999999999,0.07235638,3.9461699999999995,1.1631749999999999e-06,108.0,0.7855999119788373
1.15e-05,0.2081541,0.04175575,0.008056704,2.301333,3.257213,1.881857,0.09496763,2.647236,8.386034000000001e-07,96.0,0.6933189632658041
1.15e-05,0.2616035,0.04348146,0.042050300000000006,-2.842669,0.05997765,2.73084,0.1338021,5.450603,1.6253649999999998e-06,149.0,0.8288170652692203
1.15e-05,0.3604097,0.05001588,0.02129666,-1.86705,2.421838,1.804714,0.21636750000000002,1.346608,1.3288829999999998e-06,183.0,0.7988221317974215
1.15e-05,0.465376,0.02069343,0.03033719,-2.269836,1.8112599999999999,3.7718220000000002,0.3174703,4.1941690000000005,1.444856e-06,192.0,0.8263674665446599
1.15e-05,0.5765118,0.02142906,0.02680773,1.354372,3.232437,1.5806639999999998,0.4377326,3.271402,5.302144000000001e-07,253.0,0.6231363385405493
1.15e-05,0.7336446,0.013256,0.04719228,1.675682,4.214208999999999,5.382269,0.6283843000000001,5.762487,1.365472e-06,219.0,0.803839293761871
1.15e-05,0.9783445,0.08967927,0.05405818,1.2925,1.149126,4.215944,0.9676855,1.9452459999999998,5.090559e-07,267.0,0.6049029683052598
1.15e-05,1.133722,0.24395709999999998,0.05326109,-0.6319318,2.5180830000000003,4.999715,1.2071370000000001,3.1240259999999997,7.481741e-08,314.0,0.355314286057522
1.15e-05,1.186663,0.1792663,0.2315371,-1.039076,0.9116820999999999,2.2851209999999997,1.292669,2.615645,3.7808300000000006e-08,309.0,0.30089580358886636
1.15e-05,1.217135,0.1691923,0.1362499,-0.06139854,2.4752509999999996,3.862682,1.3427799999999999,1.7869830000000002,3.730049e-08,316.0,0.3021183535617567
1.15e-05,1.2644799999999998,0.11946400000000001,0.04961358,1.91277,6.221872,5.467896,1.421885,3.520202,3.802819e-08,306.0,0.2979459507998058
1.15e-05,1.298815,0.23201420000000003,0.1644606,2.048665,0.05502505,0.7554927,1.48019,4.469103,3.884609e-08,295.0,0.2948403446136647
1.23e-05,0.04875314,0.03270435,0.02754753,-2.578182,0.5627448,2.8651880000000003,0.01076474,4.815741,7.114018e-07,0.0,0.6732923500530787
1.23e-05,0.06224703,0.01755054,0.0058471140000000005,-0.6265096,4.175221,0.8638616,0.01553021,3.583155,1.994079e-06,10.0,0.8993212308714515
1.23e-05,0.08935660000000001,0.03113731,0.01349556,2.89752,0.2060326,5.646592,0.02671092,2.577026,2.39739e-06,39.0,0.9474580810173132
1.23e-05,0.1185566,0.01968132,0.05001748,-0.7841864000000001,0.8398438,1.0878079999999999,0.04082132,1.0663639999999999,1.1078200000000001e-06,75.0,0.7554802513299546
1.23e-05,0.1445297,0.03316163,0.04194183,0.6624257,3.043861,5.634261,0.05494575,1.9891849999999998,1.071798e-06,93.0,0.766009869137271
1.23e-05,0.1782746,0.06033014,0.02208566,1.200042,5.542278,1.6513900000000001,0.07527178,1.3073290000000002,1.534879e-06,112.0,0.8458910710527592
1.23e-05,0.226642,0.02017829,0.01591541,2.783718,4.359915,1.220437,0.1078968,0.3745482,1.1991379999999999e-06,131.0,0.7781825000061027
1.23e-05,0.2699993,0.04569356,0.02485842,0.8134241,5.436726999999999,3.165122,0.1402948,3.193269,7.80799e-07,158.0,0.6901774427495437
1.23e-05,0.3497282,0.03888362,0.0103836,0.44118140000000006,4.798973999999999,5.6529419999999995,0.20682029999999998,0.4454282,1.786684e-06,164.0,0.86169564387394
1.23e-05,0.468077,0.029870400000000002,0.0372205,0.9787805,0.09024052,3.998612,0.32023759999999996,2.941718,1.308441e-06,202.0,0.7880798887852225
1.23e-05,0.6464373999999999,0.009027384,0.04348798,-1.8611509999999998,4.840369,6.2190199999999995,0.5197404999999999,3.238052,1.6981729999999998e-06,183.0,0.8586600715873995
1.23e-05,0.8800022,0.007660289,0.01636198,2.476266,4.021730000000001,5.7152650000000005,0.8255101,5.489577,8.091656000000001e-07,195.0,0.6845940979907001
1.23e-05,1.052809,0.03418508,0.1034028,3.0615189999999997,2.351815,5.361244,1.080241,6.227377,2.454077e-07,286.0,0.5106472690157708
1.23e-05,1.19488,0.03821618,0.03592951,-0.8581562,4.265134,3.8575800000000005,1.306119,0.4853739,1.208998e-07,292.0,0.4138662553324999
1.32e-05,0.05101848,0.01664143,0.06246541,2.09822,0.6484694000000001,5.770396,0.01152367,3.027541,1.899694e-06,0.0,0.8674039778372198
1.32e-05,0.06731442,0.04810687,0.01248887,2.85296,0.8722996999999999,3.7144199999999996,0.01746471,6.271237,1.530242e-06,25.0,0.8350893260104157
1.32e-05,0.08763921,0.05199305,0.008514243000000001,1.304339,4.502004,1.9292029999999998,0.02594457,2.472556,1.94922e-06,45.0,0.8741314009541385
1.32e-05,0.1197982,0.02189222,0.02149249,-0.24798920000000002,2.907515,5.397031,0.04146423,2.754297,2.168843e-06,70.0,0.9112318219658475
1.32e-05,0.16601110000000002,0.03149643,0.0237572,-1.4488729999999999,5.951251999999999,5.42943,0.06763999999999999,0.9786306999999999,1.493878e-06,93.0,0.8329293920742186
1.32e-05,0.1965981,0.03207525,0.022952200000000002,-2.492604,5.953739,6.004245,0.08716993,2.5780849999999997,1.0159899999999998e-06,124.0,0.7325455538265192
1.32e-05,0.2381297,0.05323281,0.004614415,-3.072346,5.634056,4.145453,0.11620319999999999,1.6899080000000002,9.702639e-07,143.0,0.735790760879649
1.32e-05,0.2943933,0.02241635,0.04376268,1.252026,4.235812,4.019387999999999,0.15973099999999998,4.770023999999999,1.387283e-06,154.0,0.8158358230426803
1.32e-05,0.3582697,0.02725252,0.01993474,-0.3537824,3.9997019999999996,4.650982,0.2144431,1.0519129999999999,7.995355000000001e-07,167.0,0.6782966063933109
1.32e-05,0.4368607,0.03405711,0.04351121,-0.8010674,5.241986,0.7283866,0.2887429,2.606182,1.359738e-06,192.0,0.8072716932239363
1.32e-05,0.5607804,0.04301869,0.02650961,1.130633,1.8159889999999999,5.331218,0.41993859999999994,2.441425,1.2595969999999999e-06,213.0,0.8041569737188334
1.32e-05,0.6552891,0.05792655,0.02322192,-0.6382263000000001,3.9064099999999997,2.316177,0.5304515000000001,5.232837,3.995353e-07,263.0,0.579296893559129
1.32e-05,0.8000996,0.01791398,0.03203398,-2.781684,5.096232,2.4354810000000002,0.7156693000000001,0.1253536,1.025027e-06,220.0,0.7439046228814662
1.32e-05,0.9319584999999999,0.07202048,0.06703302,-2.6360330000000003,6.0151449999999995,4.595463,0.8996860999999999,1.355338,4.889573e-07,266.0,0.5989794106910373
1.32e-05,1.138881,0.05969484,0.03369889,-2.7325779999999997,3.3384669999999996,5.1002410000000005,1.215384,4.379892,8.61597e-08,300.0,0.37195591459516414
1.32e-05,1.261261,0.06719108,0.04616842,0.7181613,3.2884290000000003,1.368422,1.416457,3.584678,1.345977e-07,274.0,0.42658340933381045
1.42e-05,0.05220448,0.03528435,0.01849056,1.774787,6.172084,0.8047965,0.01192782,5.369312,2.031417e-06,0.0,0.8963626783849012
1.42e-05,0.0707309,0.03749132,0.01629372,-1.1035840000000001,0.5198157,4.049774,0.01881104,4.559136,2.163987e-06,25.0,0.9147372942397696
1.42e-05,0.09891386,0.02982262,0.02280122,1.714235,4.992316000000001,1.243974,0.03110887,0.8653649,2.411714e-06,48.0,0.9418258082897796
