SIID,simvar,transMult
280024.0,1.07e-05,2.0
280040.0,1.07e-05,1.0
280081.0,1.07e-05,1.0
280136.0,1.07e-05,2.0
280209.0,1.07e-05,1.0
280210.0,1.07e-05,1.0
280373.0,1.07e-05,1.0
280628.0,1.07e-05,1.0
280653.0,1.07e-05,1.0
280665.0,1.07e-05,3.0
280677.0,1.07e-05,1.0
280725.0,1.07e-05,2.0
280756.0,1.07e-05,2.0
280783.0,1.07e-05,2.0
280788.0,1.07e-05,2.0
280973.0,1.07e-05,1.0
280997.0,1.07e-05,2.0
281099.0,1.07e-05,3.0
281106.0,1.07e-05,1.0
281151.0,1.07e-05,1.0
281202.0,1.07e-05,3.0
281216.0,1.07e-05,1.0
281288.0,1.07e-05,1.0
281439.0,1.07e-05,1.0
281603.0,1.07e-05,1.0
281826.0,1.07e-05,1.0
281964.0,1.07e-05,1.0
281972.0,1.07e-05,1.0
281982.0,1.07e-05,1.0
282078.0,1.07e-05,1.0
282156.0,1.07e-05,1.0
282173.0,1.07e-05,1.0
282192.0,1.07e-05,1.0
282206.0,1.07e-05,1.0
282210.0,1.07e-05,1.0
282303.0,1.07e-05,1.0
282368.0,1.07e-05,1.0
282372.0,1.07e-05,1.0
282403.0,1.07e-05,2.0
282634.0,1.07e-05,2.0
282725.0,1.07e-05,1.0
282736.0,1.07e-05,1.0
282753.0,1.07e-05,2.0
282777.0,1.07e-05,1.0
283203.0,1.07e-05,1.0
283246.0,1.07e-05,1.0
283251.0,1.07e-05,1.0
283290.0,1.07e-05,2.0
283300.0,1.07e-05,1.0
283376.0,1.07e-05,1.0
283381.0,1.07e-05,1.0
283454.0,1.07e-05,1.0
283492.0,1.07e-05,2.0
283493.0,1.07e-05,2.0
283529.0,1.07e-05,1.0
283619.0,1.07e-05,1.0
283711.0,1.07e-05,1.0
283800.0,1.07e-05,1.0
283813.0,1.07e-05,1.0
283886.0,1.07e-05,2.0
283936.0,1.07e-05,1.0
283972.0,1.07e-05,1.0
283977.0,1.07e-05,1.0
283984.0,1.07e-05,1.0
284034.0,1.07e-05,1.0
284043.0,1.07e-05,1.0
284045.0,1.07e-05,3.0
284050.0,1.07e-05,1.0
284165.0,1.07e-05,2.0
284184.0,1.07e-05,1.0
284251.0,1.07e-05,1.0
284274.0,1.07e-05,1.0
284348.0,1.07e-05,2.0
284430.0,1.07e-05,1.0
284480.0,1.07e-05,1.0
284508.0,1.07e-05,2.0
284518.0,1.07e-05,1.0
284521.0,1.07e-05,2.0
284546.0,1.07e-05,1.0
284784.0,1.07e-05,1.0
284802.0,1.07e-05,2.0
284822.0,1.07e-05,1.0
284975.0,1.07e-05,1.0
284990.0,1.07e-05,1.0
285059.0,1.07e-05,1.0
285074.0,1.07e-05,1.0
285159.0,1.07e-05,1.0
285223.0,1.07e-05,1.0
285401.0,1.07e-05,1.0
285407.0,1.07e-05,1.0
285521.0,1.07e-05,1.0
285534.0,1.07e-05,2.0
285543.0,1.07e-05,2.0
285555.0,1.07e-05,2.0
285610.0,1.07e-05,1.0
285698.0,1.07e-05,1.0
285805.0,1.07e-05,2.0
286009.0,1.07e-05,2.0
286224.0,1.07e-05,1.0
286266.0,1.07e-05,1.0
286276.0,1.07e-05,1.0
286337.0,1.07e-05,1.0
286436.0,1.07e-05,1.0
286525.0,1.07e-05,1.0
