SIID,simvar,periodRatio,mutualHill,durationRatio,a1,a2,e1,e2,i1,i2,m1,m2,b1,b2,argPeri1,argPeri2,longAscNode1,longAscNode2
461.0,1.0,3.81965735,48.83099756,0.83119816,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.52677,0.45785,0.90489,6.10835,1.30406,2.80714
474.0,1.0,1.98106402,24.40332619,1.25387145,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.46895,0.7104,0.90489,1.19362,1.30406,-0.71314
505.0,1.0,14.76645627,76.13026885,1.21503374,0.04973,0.29933,0.13862,0.00818,0.08636,0.07967,2.72455,3.8968,0.27236,0.70658,0.90489,3.29734,1.30406,0.39279
525.0,1.0,3.81965735,48.83099756,0.9729191,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.07261,0.53312,0.90489,6.10835,1.30406,2.80714
551.0,1.0,7.20108206,59.0928791,0.36822087,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.79977,0.06681,0.90489,5.66301,1.30406,-1.95241
551.0,1.0,2.05058853,22.90970202,1.63383342,0.18545,0.29933,0.01126,0.00818,0.05089,0.07967,4.7178,3.8968,0.06681,0.79278,5.66301,3.29734,-1.95241,0.39279
554.0,1.0,1.98106402,24.40332619,1.12912419,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.46535,0.58125,0.90489,1.19362,1.30406,-0.71314
592.0,1.0,1.98106402,24.40332619,0.92740552,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.39782,0.21395,0.90489,1.19362,1.30406,-0.71314
620.0,1.0,7.20108206,59.0928791,0.47716862,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.64066,0.81199,0.90489,5.66301,1.30406,-1.95241
620.0,1.0,5.27185074,47.05149829,0.63713855,0.18545,0.56174,0.01126,0.05245,0.05089,0.02106,4.7178,5.08025,0.81199,0.36121,5.66301,0.09629,-1.95241,3.00678
634.0,1.0,3.81965735,48.83099756,0.98968084,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.37726,0.56764,0.90489,6.10835,1.30406,2.80714
642.0,1.0,3.81965735,48.83099756,0.90420065,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.04761,0.30927,0.90489,6.10835,1.30406,2.80714
680.0,1.0,1.98106402,24.40332619,5.34056429,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.26088,0.98341,0.90489,1.19362,1.30406,-0.71314
681.0,1.0,3.81965735,48.83099756,2.06294675,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.02124,0.90081,0.90489,6.10835,1.30406,2.80714
683.0,1.0,3.81965735,48.83099756,1.00169485,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.05965,0.02013,0.90489,6.10835,1.30406,2.80714
687.0,1.0,14.76645627,76.13026885,1.0301364,0.04973,0.29933,0.13862,0.00818,0.08636,0.07967,2.72455,3.8968,0.29475,0.57559,0.90489,3.29734,1.30406,0.39279
725.0,1.0,7.20108206,59.0928791,1.25034961,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.44252,0.77333,0.90489,5.66301,1.30406,-1.95241
730.0,1.0,3.81965735,48.83099756,1.13685536,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.52452,0.71795,0.90489,6.10835,1.30406,2.80714
737.0,1.0,7.20108206,59.0928791,0.93748986,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.20502,0.26109,0.90489,5.66301,1.30406,-1.95241
741.0,1.0,1.98106402,24.40332619,0.14903019,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.9838,0.1877,0.90489,1.19362,1.30406,-0.71314
790.0,1.0,1.98106402,24.40332619,1.00408989,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.37694,0.42867,0.90489,1.19362,1.30406,-0.71314
790.0,1.0,7.45380064,60.10028525,1.1252296,0.07845,0.29933,0.12528,0.00818,0.11682,0.07967,3.46032,3.8968,0.42867,0.57,1.19362,3.29734,-0.71314,0.39279
796.0,1.0,1.98106402,24.40332619,0.36149447,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.85546,0.06042,0.90489,1.19362,1.30406,-0.71314
837.0,1.0,1.98106402,24.40332619,0.97972805,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.37387,0.2427,0.90489,1.19362,1.30406,-0.71314
841.0,1.0,7.20108206,59.0928791,0.81738678,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.24393,0.01176,0.90489,5.66301,1.30406,-1.95241
846.0,1.0,1.98106402,24.40332619,2.1297212,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.63831,0.92985,0.90489,1.19362,1.30406,-0.71314
846.0,1.0,3.63495676,40.23354279,1.21433765,0.07845,0.18545,0.12528,0.01126,0.11682,0.05089,3.46032,4.7178,0.92985,0.94246,1.19362,5.66301,-0.71314,-1.95241
846.0,1.0,5.27185074,47.05149829,0.34308015,0.18545,0.56174,0.01126,0.05245,0.05089,0.02106,4.7178,5.08025,0.94246,0.58905,5.66301,0.09629,-1.95241,3.00678
870.0,1.0,3.81965735,48.83099756,1.1202602,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.29715,0.66861,0.90489,6.10835,1.30406,2.80714
884.0,1.0,3.81965735,48.83099756,0.46214418,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.9034,0.21801,0.90489,6.10835,1.30406,2.80714
884.0,1.0,1.88526912,21.71492005,2.61603326,0.12152,0.18545,0.13405,0.01126,0.07367,0.05089,2.33135,4.7178,0.21801,0.92263,6.10835,5.66301,2.80714,-1.95241
913.0,1.0,1.98106402,24.40332619,1.24375865,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.27527,0.51769,0.90489,1.19362,1.30406,-0.71314
914.0,1.0,1.98106402,24.40332619,0.22406611,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.95935,0.14214,0.90489,1.19362,1.30406,-0.71314
914.0,1.0,1.92808375,23.97749473,0.86338565,0.07845,0.12152,0.12528,0.13405,0.11682,0.07367,3.46032,2.33135,0.14214,0.1684,1.19362,6.10835,-0.71314,2.80714
973.0,1.0,1.98106402,24.40332619,0.52100043,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.88661,0.5368,0.90489,1.19362,1.30406,-0.71314
973.0,1.0,1.92808375,23.97749473,0.87722133,0.07845,0.12152,0.12528,0.13405,0.11682,0.07367,3.46032,2.33135,0.5368,0.21361,1.19362,6.10835,-0.71314,2.80714
973.0,1.0,9.93885741,66.06551586,1.05431976,0.12152,0.56174,0.13405,0.05245,0.07367,0.02106,2.33135,5.08025,0.21361,0.43778,6.10835,0.09629,2.80714,3.00678
976.0,1.0,3.81965735,48.83099756,0.80966831,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.16864,0.04066,0.90489,6.10835,1.30406,2.80714
998.0,1.0,1.98106402,24.40332619,1.67763312,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.16957,0.81828,0.90489,1.19362,1.30406,-0.71314
1000.0,1.0,37.96302976,84.39390404,1.02088801,0.04973,0.56174,0.13862,0.05245,0.08636,0.02106,2.72455,5.08025,0.45411,0.60804,0.90489,0.09629,1.30406,3.00678
1046.0,1.0,3.81965735,48.83099756,1.75575118,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.12137,0.86312,0.90489,6.10835,1.30406,2.80714
1048.0,1.0,3.81965735,48.83099756,0.91999783,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.29905,0.48712,0.90489,6.10835,1.30406,2.80714
1066.0,1.0,1.98106402,24.40332619,0.63104052,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.8787,0.57446,0.90489,1.19362,1.30406,-0.71314
1106.0,1.0,1.98106402,24.40332619,1.15549948,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.12131,0.16588,0.90489,1.19362,1.30406,-0.71314
1147.0,1.0,1.98106402,24.40332619,-0.06479109,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.66775,0.37301,0.90489,1.19362,1.30406,-0.71314
1158.0,1.0,3.81965735,48.83099756,1.02174914,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.10282,0.25539,0.90489,6.10835,1.30406,2.80714
1200.0,1.0,3.81965735,48.83099756,0.89249048,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.43322,0.02925,0.90489,6.10835,1.30406,2.80714
