SIID,simvar,transMult,a,e,i,m,rad,probDetect
487.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
490.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
505.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
505.0,1.0,2.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
508.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
515.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
525.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
525.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
551.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
551.0,1.0,3.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
551.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
554.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
554.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
568.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
592.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
592.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
620.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
620.0,1.0,3.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
620.0,1.0,3.0,0.56174,0.05245,0.02106,5.08025,2.09960723,0.0
634.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
634.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
642.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
642.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
680.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
680.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
681.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
681.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
