SIID,simvar,transMult
5.0,10.06060982,1.0
24.0,10.06060982,3.0
27.0,10.06060982,1.0
32.0,10.06060982,2.0
36.0,10.06060982,3.0
63.0,10.06060982,1.0
64.0,10.06060982,6.0
80.0,10.06060982,1.0
85.0,10.06060982,5.0
106.0,10.06060982,5.0
123.0,10.06060982,4.0
210.0,10.06060982,3.0
250.0,10.06060982,3.0
291.0,10.06060982,3.0
346.0,10.06060982,1.0
388.0,10.06060982,3.0
389.0,10.06060982,3.0
402.0,10.06060982,2.0
461.0,10.06060982,3.0
508.0,10.06060982,5.0
515.0,10.06060982,1.0
525.0,10.06060982,1.0
554.0,10.06060982,5.0
620.0,10.06060982,4.0
634.0,10.06060982,1.0
642.0,10.06060982,2.0
680.0,10.06060982,2.0
687.0,10.06060982,1.0
690.0,10.06060982,1.0
725.0,10.06060982,2.0
730.0,10.06060982,1.0
737.0,10.06060982,6.0
754.0,10.06060982,6.0
788.0,10.06060982,1.0
821.0,10.06060982,1.0
837.0,10.06060982,3.0
841.0,10.06060982,5.0
846.0,10.06060982,5.0
884.0,10.06060982,1.0
889.0,10.06060982,1.0
896.0,10.06060982,1.0
913.0,10.06060982,2.0
914.0,10.06060982,3.0
973.0,10.06060982,3.0
976.0,10.06060982,1.0
982.0,10.06060982,6.0
997.0,10.06060982,6.0
1000.0,10.06060982,3.0
1008.0,10.06060982,1.0
1041.0,10.06060982,1.0
1046.0,10.06060982,2.0
1048.0,10.06060982,2.0
1078.0,10.06060982,6.0
1103.0,10.06060982,1.0
1108.0,10.06060982,2.0
1124.0,10.06060982,3.0
1147.0,10.06060982,5.0
1158.0,10.06060982,1.0
1200.0,10.06060982,3.0
1203.0,10.06060982,1.0
1212.0,10.06060982,2.0
1238.0,10.06060982,1.0
1256.0,10.06060982,1.0
1266.0,10.06060982,1.0
1316.0,10.06060982,2.0
1341.0,10.06060982,2.0
1354.0,10.06060982,1.0
1390.0,10.06060982,1.0
1396.0,10.06060982,3.0
1427.0,10.06060982,1.0
1454.0,10.06060982,1.0
1479.0,10.06060982,4.0
1494.0,10.06060982,2.0
1512.0,10.06060982,1.0
1563.0,10.06060982,6.0
1572.0,10.06060982,4.0
1576.0,10.06060982,5.0
1580.0,10.06060982,5.0
1585.0,10.06060982,3.0
1603.0,10.06060982,1.0
1645.0,10.06060982,4.0
1695.0,10.06060982,2.0
1730.0,10.06060982,3.0
