SIID,simvar,transMult
224312.0,1.23e-05,1.0
224579.0,1.23e-05,1.0
224928.0,1.23e-05,1.0
226650.0,1.23e-05,1.0
226970.0,1.23e-05,1.0
227616.0,1.23e-05,1.0
228171.0,1.23e-05,1.0
228933.0,1.23e-05,1.0
229550.0,1.23e-05,1.0
231041.0,1.35e-05,1.0
232861.0,1.35e-05,2.0
237189.0,1.35e-05,1.0
238031.0,1.35e-05,2.0
238718.0,1.35e-05,1.0
239684.0,1.35e-05,1.0
240461.0,1.48e-05,1.0
240620.0,1.48e-05,2.0
240737.0,1.48e-05,2.0
240821.0,1.48e-05,1.0
241041.0,1.48e-05,1.0
241046.0,1.48e-05,1.0
241147.0,1.48e-05,3.0
241983.0,1.48e-05,1.0
241997.0,1.48e-05,1.0
242239.0,1.48e-05,2.0
243246.0,1.48e-05,2.0
243568.0,1.48e-05,1.0
243771.0,1.48e-05,1.0
244096.0,1.48e-05,1.0
244614.0,1.48e-05,1.0
244737.0,1.48e-05,1.0
245051.0,1.48e-05,2.0
245608.0,1.48e-05,1.0
245610.0,1.48e-05,1.0
246118.0,1.48e-05,1.0
246410.0,1.48e-05,2.0
247298.0,1.48e-05,4.0
247728.0,1.48e-05,1.0
249026.0,1.48e-05,1.0
249202.0,1.48e-05,1.0
249206.0,1.48e-05,1.0
249829.0,1.48e-05,3.0
250032.0,1.63e-05,1.0
250064.0,1.63e-05,1.0
250109.0,1.63e-05,1.0
250238.0,1.63e-05,1.0
250461.0,1.63e-05,1.0
250741.0,1.63e-05,1.0
250754.0,1.63e-05,1.0
250756.0,1.63e-05,1.0
250790.0,1.63e-05,1.0
250837.0,1.63e-05,1.0
250913.0,1.63e-05,1.0
250914.0,1.63e-05,1.0
250973.0,1.63e-05,2.0
251078.0,1.63e-05,2.0
251156.0,1.63e-05,1.0
251179.0,1.63e-05,1.0
251200.0,1.63e-05,1.0
251316.0,1.63e-05,2.0
251317.0,1.63e-05,1.0
251436.0,1.63e-05,1.0
251486.0,1.63e-05,1.0
251600.0,1.63e-05,2.0
251684.0,1.63e-05,1.0
251781.0,1.63e-05,1.0
252358.0,1.63e-05,1.0
252725.0,1.63e-05,2.0
252738.0,1.63e-05,1.0
252760.0,1.63e-05,1.0
252818.0,1.63e-05,1.0
252949.0,1.63e-05,2.0
252978.0,1.63e-05,1.0
253162.0,1.63e-05,2.0
253251.0,1.63e-05,2.0
253254.0,1.63e-05,1.0
253529.0,1.63e-05,2.0
253851.0,1.63e-05,1.0
253996.0,1.63e-05,1.0
254034.0,1.63e-05,1.0
254045.0,1.63e-05,2.0
254096.0,1.63e-05,1.0
254165.0,1.63e-05,2.0
254171.0,1.63e-05,2.0
254450.0,1.63e-05,1.0
254521.0,1.63e-05,1.0
254543.0,1.63e-05,1.0
254549.0,1.63e-05,1.0
254701.0,1.63e-05,1.0
254721.0,1.63e-05,1.0
254737.0,1.63e-05,2.0
254909.0,1.63e-05,1.0
254990.0,1.63e-05,1.0
255314.0,1.63e-05,1.0
255390.0,1.63e-05,2.0
255429.0,1.63e-05,1.0
255437.0,1.63e-05,1.0
255465.0,1.63e-05,2.0
255488.0,1.63e-05,2.0
255615.0,1.63e-05,1.0
255639.0,1.63e-05,2.0
255874.0,1.63e-05,1.0
255989.0,1.63e-05,2.0
256062.0,1.63e-05,1.0
256118.0,1.63e-05,1.0
256125.0,1.63e-05,1.0
256392.0,1.63e-05,1.0
256520.0,1.63e-05,1.0
256536.0,1.63e-05,1.0
256820.0,1.63e-05,1.0
257089.0,1.63e-05,1.0
257276.0,1.63e-05,1.0
257341.0,1.63e-05,1.0
257487.0,1.63e-05,1.0
257565.0,1.63e-05,1.0
257714.0,1.63e-05,1.0
257834.0,1.63e-05,1.0
257943.0,1.63e-05,1.0
258031.0,1.63e-05,2.0
258041.0,1.63e-05,1.0
258356.0,1.63e-05,2.0
258777.0,1.63e-05,1.0
258885.0,1.63e-05,1.0
259043.0,1.63e-05,1.0
259059.0,1.63e-05,1.0
259270.0,1.63e-05,1.0
259408.0,1.63e-05,2.0
259549.0,1.63e-05,2.0
259591.0,1.63e-05,1.0
259693.0,1.63e-05,1.0
254308.0,1.63e-05,1.0
255446.0,1.63e-05,1.0
257482.0,1.63e-05,1.0
259381.0,1.63e-05,1.0
260461.0,1.79e-05,2.0
260638.0,1.79e-05,1.0
260702.0,1.79e-05,2.0
260884.0,1.79e-05,2.0
260889.0,1.79e-05,2.0
261000.0,1.79e-05,4.0
261200.0,1.79e-05,2.0
261777.0,1.79e-05,3.0
262216.0,1.79e-05,3.0
263290.0,1.79e-05,3.0
263514.0,1.79e-05,3.0
263628.0,1.79e-05,1.0
263655.0,1.79e-05,1.0
263889.0,1.79e-05,2.0
264138.0,1.79e-05,2.0
264348.0,1.79e-05,3.0
264811.0,1.79e-05,1.0
265191.0,1.79e-05,3.0
265410.0,1.79e-05,2.0
265574.0,1.79e-05,2.0
265756.0,1.79e-05,3.0
265998.0,1.79e-05,1.0
266516.0,1.79e-05,2.0
267385.0,1.79e-05,2.0
267620.0,1.79e-05,2.0
267694.0,1.79e-05,4.0
267840.0,1.79e-05,2.0
268230.0,1.79e-05,3.0
268334.0,1.79e-05,1.0
268783.0,1.79e-05,3.0
269477.0,1.79e-05,2.0
269970.0,1.79e-05,1.0
260040.0,1.79e-05,1.0
260081.0,1.79e-05,1.0
260199.0,1.79e-05,1.0
260452.0,1.79e-05,1.0
260508.0,1.79e-05,2.0
260543.0,1.79e-05,1.0
260592.0,1.79e-05,2.0
260653.0,1.79e-05,1.0
260788.0,1.79e-05,1.0
260836.0,1.79e-05,1.0
260837.0,1.79e-05,2.0
260973.0,1.79e-05,1.0
261118.0,1.79e-05,1.0
261156.0,1.79e-05,1.0
261512.0,1.79e-05,1.0
261572.0,1.79e-05,1.0
261576.0,1.79e-05,1.0
261730.0,1.79e-05,1.0
261741.0,1.79e-05,1.0
261790.0,1.79e-05,1.0
261986.0,1.79e-05,2.0
262156.0,1.79e-05,1.0
262413.0,1.79e-05,2.0
262764.0,1.79e-05,2.0
262816.0,1.79e-05,1.0
262820.0,1.79e-05,1.0
262830.0,1.79e-05,1.0
262871.0,1.79e-05,2.0
262915.0,1.79e-05,1.0
263027.0,1.79e-05,1.0
263108.0,1.79e-05,1.0
263170.0,1.79e-05,1.0
263203.0,1.79e-05,1.0
263205.0,1.79e-05,1.0
263213.0,1.79e-05,1.0
263300.0,1.79e-05,1.0
263341.0,1.79e-05,1.0
263376.0,1.79e-05,2.0
263411.0,1.79e-05,1.0
263566.0,1.79e-05,1.0
263653.0,1.79e-05,1.0
263660.0,1.79e-05,1.0
263711.0,1.79e-05,2.0
263886.0,1.79e-05,1.0
264004.0,1.79e-05,1.0
264023.0,1.79e-05,1.0
264050.0,1.79e-05,1.0
264255.0,1.79e-05,1.0
264258.0,1.79e-05,1.0
264285.0,1.79e-05,1.0
264344.0,1.79e-05,2.0
264362.0,1.79e-05,2.0
264433.0,1.79e-05,1.0
264615.0,1.79e-05,1.0
264866.0,1.79e-05,1.0
264917.0,1.79e-05,1.0
264990.0,1.79e-05,2.0
265051.0,1.79e-05,1.0
265401.0,1.79e-05,1.0
265429.0,1.79e-05,1.0
265521.0,1.79e-05,1.0
265749.0,1.79e-05,1.0
265814.0,1.79e-05,1.0
265950.0,1.79e-05,2.0
266013.0,1.79e-05,1.0
266046.0,1.79e-05,2.0
266131.0,1.79e-05,1.0
266224.0,1.79e-05,1.0
266392.0,1.79e-05,1.0
266446.0,1.79e-05,1.0
266517.0,1.79e-05,1.0
266604.0,1.79e-05,1.0
266790.0,1.79e-05,1.0
266794.0,1.79e-05,1.0
267170.0,1.79e-05,1.0
267189.0,1.79e-05,1.0
267298.0,1.79e-05,1.0
267349.0,1.79e-05,1.0
267434.0,1.79e-05,1.0
267487.0,1.79e-05,1.0
267711.0,1.79e-05,2.0
267761.0,1.79e-05,1.0
267773.0,1.79e-05,1.0
267819.0,1.79e-05,1.0
267829.0,1.79e-05,2.0
267834.0,1.79e-05,1.0
267859.0,1.79e-05,1.0
267948.0,1.79e-05,1.0
267990.0,1.79e-05,1.0
268041.0,1.79e-05,1.0
268146.0,1.79e-05,1.0
268247.0,1.79e-05,1.0
268473.0,1.79e-05,1.0
268725.0,1.79e-05,1.0
268814.0,1.79e-05,2.0
268820.0,1.79e-05,2.0
268885.0,1.79e-05,1.0
268930.0,1.79e-05,1.0
269017.0,1.79e-05,1.0
269082.0,1.79e-05,1.0
269133.0,1.79e-05,1.0
269338.0,1.79e-05,1.0
269549.0,1.79e-05,1.0
269891.0,1.79e-05,2.0
269981.0,1.79e-05,1.0
260505.0,1.79e-05,1.0
262862.0,1.79e-05,1.0
263671.0,1.79e-05,1.0
264822.0,1.79e-05,1.0
265652.0,1.79e-05,1.0
266241.0,1.79e-05,1.0
267514.0,1.79e-05,1.0
269054.0,1.79e-05,1.0
