stokesnum,a,e,i,node,peri,M,P,f,mass,PlanetNum,mrRad_ChenKipping
1.23e-05,0.5765509,0.05332259,0.02615579,-1.2874379999999999,5.111217,6.161232,0.437778,2.410797,1.119104e-06,219.0,0.7607961472428575
1.23e-05,0.7903717,0.02257992,0.01417237,-1.2847950000000001,1.63581,5.071219,0.7026581999999999,4.67505,1.7292330000000002e-06,265.0,0.8728752446132291
1.23e-05,0.9029464,0.07026963,0.04752616,-1.783039,5.067034,5.618163,0.8580054,2.429739,1.949119e-07,302.0,0.47955449214820267
1.23e-05,1.0958450000000002,0.09787704,0.1236001,2.137543,3.6424410000000003,2.9039029999999997,1.147152,3.361197,2.065045e-07,313.0,0.4723352031579088
1.23e-05,1.114409,0.1348635,0.08184528,1.434547,1.802946,2.464178,1.176423,5.297413,2.709101e-07,305.0,0.5098135724226539
1.23e-05,1.35501,0.07524104,0.05894578,-2.0535080000000003,3.4110669999999996,0.9528351999999999,1.577287,5.813669,1.320658e-07,300.0,0.42864662179620583
1.3500000000000001e-05,0.06099255,0.05883219,0.02361117,-0.028859100000000002,4.794417,5.024051,0.01506312,0.2908597,1.218714e-06,0.0,0.7849157818237389
1.3500000000000001e-05,0.07781693,0.02953448,0.05447665,-0.7713097,5.8017,4.160362999999999,0.02170754,5.366925,1.023013e-06,27.0,0.743170576949238
1.3500000000000001e-05,0.09846538,0.04824804,0.01933373,1.785538,5.926803,6.106802,0.03089759,4.581558,1.313834e-06,44.0,0.790581018149829
1.3500000000000001e-05,0.130661,0.03500781,0.02829523,-1.022153,1.2045780000000001,1.9415169999999997,0.04722998,1.8272580000000003,1.158463e-06,80.0,0.7689871058270159
1.3500000000000001e-05,0.1606651,0.04220389,0.01111929,-1.081189,0.7441206,4.3893580000000005,0.0643993,4.6420639999999995,9.706072e-07,106.0,0.7131288055556637
1.3500000000000001e-05,0.2108736,0.02254287,0.0349218,0.7630726,0.9770005999999999,4.168581,0.09683486,2.4573810000000003,1.683089e-06,128.0,0.8594955045588668
1.3500000000000001e-05,0.31892329999999997,0.03520217,0.01655861,2.222036,0.977941,0.7176100999999999,0.1801056,3.7591589999999995,1.842114e-06,164.0,0.8792252176564332
1.3500000000000001e-05,0.4573184,0.06121271,0.006121941999999999,1.101879,3.10649,1.172074,0.3092614,3.234934,1.606316e-06,195.0,0.8567323620283716
1.3500000000000001e-05,0.5927087,0.04248675,0.02530115,1.266313,2.154029,0.7015115,0.4563092000000001,3.531111,1.585473e-06,232.0,0.832701644730597
1.3500000000000001e-05,0.7149873000000001,0.01317054,0.05826372,-2.059989,0.9542792999999999,3.024999,0.6045678000000001,4.108899,5.716975e-07,228.0,0.6396976199445248
1.3500000000000001e-05,0.9475886999999998,0.0052875019999999995,0.03222865,-1.9817040000000001,5.159680000000001,4.844289,0.9224157,1.6768330000000002,1.3962780000000001e-06,247.0,0.8218312781153059
1.3500000000000001e-05,1.0251059999999999,0.12551800000000002,0.1121954,2.88866,3.573234,4.881421,1.037887,4.454635,7.859375e-08,305.0,0.36687949522082
1.3500000000000001e-05,1.194083,0.06559228,0.05766038,2.352681,4.395449,2.587014,1.304814,2.229009,2.27534e-07,285.0,0.49138697563074996
1.4800000000000002e-05,0.04812749,0.02744354,0.01490808,-2.634535,4.938499,0.7136501999999999,0.01055819,4.638058999999999,1.305439e-06,0.0,0.785655387522348
1.4800000000000002e-05,0.06163648,0.02390268,0.01511119,-1.203855,2.841417,1.744504,0.01530228,0.1122009,1.3362469999999998e-06,26.0,0.805508128305584
1.4800000000000002e-05,0.07554362,0.02953672,0.06638984,-0.40708940000000005,2.321761,2.493382,0.02076328,0.6120433000000001,5.381939000000001e-07,51.0,0.6201600340317623
1.4800000000000002e-05,0.08980235,0.005246035,0.007221035,2.92528,2.6654970000000002,0.3678341,0.02691105,1.069425,1.210497e-06,62.0,0.8060593571877479
1.4800000000000002e-05,0.10957730000000002,0.007436691,0.03630269,2.554807,5.647098000000001,4.687737,0.03627267,2.774384,9.061256999999999e-07,87.0,0.7217632302211203
1.4800000000000002e-05,0.1394737,0.03433921,0.02425896,-1.415352,3.038951,2.884824,0.05208794,1.327456,1.59035e-06,105.0,0.843612657144984
1.4800000000000002e-05,0.1845789,0.04140301,0.02013559,2.6854810000000002,6.156807,3.136361,0.07929969,0.6244736,1.003617e-06,130.0,0.7359402321588143
1.4800000000000002e-05,0.2224172,0.023313,0.03761481,-2.379138,0.01349609,3.301618,0.104894,5.639671,1.037917e-06,143.0,0.7458174370625787
1.4800000000000002e-05,0.29287090000000005,0.04325818,0.01630965,1.069782,0.4083692,4.261912000000001,0.15849370000000002,2.812595,1.4962649999999999e-06,182.0,0.8406440915389655
1.4800000000000002e-05,0.4052132,0.0249364,0.01958841,1.9606029999999999,0.30342140000000006,1.9645259999999998,0.2579424,5.968522,1.720317e-06,198.0,0.8521843093185733
1.4800000000000002e-05,0.5315321999999999,0.003969275,0.02942224,2.752843,6.05731,1.903759,0.3875176,5.655325,1.380744e-06,235.0,0.8084014747593268
1.4800000000000002e-05,0.6667759,0.01747685,0.047635199999999996,-0.6367425,3.466928,3.0615799999999997,0.5444609,0.2395847,1.0534910000000001e-06,249.0,0.7601210638662408
1.4800000000000002e-05,0.7781402,0.03200297,0.01360588,1.282931,5.51879,3.6959660000000003,0.6864093000000001,3.175225,9.700950000000001e-07,279.0,0.7370905373393022
1.4800000000000002e-05,0.9464841,0.02363404,0.009631369,0.7028492,2.0987419999999997,1.6489220000000002,0.9208028,5.08681,1.029619e-06,277.0,0.7539861493635784
1.4800000000000002e-05,1.18926,0.08536833,0.05179379,-0.1720124,2.84622,5.12859,1.296914,2.5542540000000002,1.598715e-07,310.0,0.4408155765823696
1.4800000000000002e-05,1.364206,0.1917182,0.06342667,-0.8642328000000001,1.301391,1.1026120000000001,1.5933680000000001,0.9524761,8.329704e-08,316.0,0.37627159345283256
1.63e-05,0.06788017,0.006919934,0.05350741,-0.4094009,1.651118,3.148113,0.01768536,1.9194259999999999,2.373145e-06,0.0,0.9512425540775641
1.63e-05,0.10323610000000001,0.04748369,0.01149329,-1.82253,3.6863940000000004,1.522146,0.03317007,5.907769,1.8930160000000001e-06,37.0,0.8896920303973472
1.63e-05,0.1373728,0.07508125,0.07144515,-0.5304227,4.610836,1.535484,0.05091549,3.660054,1.3341800000000002e-06,66.0,0.8018115993302363
1.63e-05,0.1745773,0.04653362,0.04250022,-0.1248605,3.6557,6.239376999999999,0.0729424,2.745622,1.059127e-06,89.0,0.7446312678748532
1.63e-05,0.2215439,0.0343466,0.04038245,-0.44291579999999997,2.247373,0.0831125,0.1042769,4.49441,1.576657e-06,97.0,0.8523357671233233
1.63e-05,0.3007665,0.05094735,0.0248081,2.63257,1.597957,3.759417,0.1649461,5.763071,1.3660390000000002e-06,131.0,0.8298712107608153
1.63e-05,0.3747222,0.01075282,0.04067581,2.004739,3.56797,2.9164380000000003,0.2293831,3.617,1.062142e-06,180.0,0.7638501795408
1.63e-05,0.4832263,0.01083379,0.02653094,2.238664,1.388868,2.542684,0.33591040000000005,5.179057,1.7242959999999998e-06,140.0,0.8520866332570768
1.63e-05,0.6319948000000001,0.035275400000000005,0.03388512,-3.114655,1.0553139999999999,4.737284,0.5024202,0.5494661,2.011755e-06,212.0,0.900097415392517
1.63e-05,0.9655388,0.06664824,0.00938474,-0.3204646,2.678875,5.33069,0.9487484,2.99303,1.917115e-06,258.0,0.8738324718749322
1.63e-05,1.5702040000000002,0.37044540000000004,0.1636638,3.110266,2.000053,3.969465,1.967571,4.389419999999999,9.203593e-08,280.0,0.37669804043464805
1.7899999999999998e-05,0.04504282,0.02427215,0.07868732,-2.8848119999999997,1.4916479999999999,4.286929,0.009559561999999999,5.651857,1.274055e-06,0.0,0.7828736525022059
1.7899999999999998e-05,0.06162429,0.03716423,0.04983292,-1.6649080000000003,1.178387,6.074374,0.01529773,0.2990372,2.326003e-06,21.0,0.9299538115315014
1.7899999999999998e-05,0.08685429,0.06179238,0.02327693,1.6039219999999998,0.15035379999999998,0.08549045,0.0255968,4.492632,1.808049e-06,60.0,0.8720627979156679
1.7899999999999998e-05,0.11789749999999999,0.10620050000000002,0.05422289,-1.7665790000000001,2.394089,0.48215240000000004,0.04048139,6.102451,1.259218e-06,91.0,0.7784752257036129
1.7899999999999998e-05,0.1567944,0.021447099999999997,0.05660264,-1.293243,4.974365,2.2313959999999997,0.06208604,4.790754,2.0678970000000003e-06,113.0,0.8997460805653088
1.7899999999999998e-05,0.21616570000000002,0.02547715,0.02867274,2.770829,1.197815,1.530422,0.10050269999999999,3.8127940000000002,1.842628e-06,144.0,0.8885650763272472
1.7899999999999998e-05,0.3022419,0.01091619,0.04174352,2.381262,2.6152849999999996,3.7067650000000003,0.166161,4.9723489999999995,1.4229910000000001e-06,187.0,0.8120664399712247
1.7899999999999998e-05,0.3920303,0.08937503,0.04458382,-1.434297,0.07457999,0.2004884,0.2454578,1.738213,1.680596e-06,155.0,0.8686105954703959
1.7899999999999998e-05,0.5191524000000001,0.06098875,0.02327665,1.1532040000000001,2.687893,3.258109,0.37405809999999995,5.628558,1.441396e-06,235.0,0.8369414559049444
1.7899999999999998e-05,0.6704145,0.04347427,0.04373138,1.198576,3.395278,0.2846146,0.5489227,2.052174,2.8100009999999996e-06,245.0,0.9957034276107649
1.7899999999999998e-05,0.9937728000000001,0.05592022,0.04032141,-2.2618150000000004,1.390733,5.561687,0.9906644,0.167483,9.104321e-07,262.0,0.7269179314954152
1.7899999999999998e-05,1.2396559999999999,0.07569487,0.06167826,0.42635609999999996,5.461961,3.120916,1.380217,3.4649620000000003,4.852991000000001e-07,275.0,0.6014114821644965
1.9600000000000002e-05,0.05458727,0.01057745,0.01901611,-1.25502,3.8425339999999997,5.559857,0.01275372,2.975861,1.449611e-06,0.0,0.8114988884510822
1.9600000000000002e-05,0.07162089,0.01529307,0.02754543,-0.6760233,1.060969,4.4760089999999995,0.01916721,4.06647,1.880677e-06,22.0,0.8744916689088575
1.9600000000000002e-05,0.09783602,0.01016722,0.008497771,-1.165693,3.4294809999999996,0.3042824,0.03060181,4.304954,1.968658e-06,51.0,0.8688538731109527
1.9600000000000002e-05,0.1390375,0.01227007,0.003223662,2.961684,6.039982,3.898882,0.05184374,1.203225,1.982833e-06,80.0,0.8944041584729706
1.9600000000000002e-05,0.1837963,0.01152318,0.009355667,2.537305,0.4312391,0.11275450000000001,0.07879580000000001,3.4209870000000002,1.691782e-06,105.0,0.859842382298845
1.9600000000000002e-05,0.2394927,0.03466383,0.03427588,-1.659297,1.988905,4.901462,0.11720230000000001,4.503677,1.3592609999999998e-06,123.0,0.812557683422984
1.9600000000000002e-05,0.2928935,0.03420865,0.03037328,2.758426,5.913836,4.137222,0.15851179999999998,1.814935,8.671201999999999e-07,166.0,0.7039998385150091
1.9600000000000002e-05,0.3750305,0.0052465359999999996,0.03013674,3.13671,1.149613,5.34535,0.22966620000000001,1.0682040000000002,2.058189e-06,153.0,0.8935336905965203
1.9600000000000002e-05,0.44976859999999996,0.0376526,0.04092337,-3.101023,3.3870410000000004,0.5790590999999999,0.30163429999999997,0.31581709999999996,5.439755000000001e-07,200.0,0.6220407479304892
1.9600000000000002e-05,0.5661676,0.02279037,0.02339847,0.493087,3.187637,1.448503,0.4260044,4.0156220000000005,2.2336179999999997e-06,202.0,0.9260559446953154
1.9600000000000002e-05,0.6934996999999999,0.009063487,0.01334601,1.043674,2.929059,4.166891000000001,0.5775177,0.19769489999999998,5.27258e-07,230.0,0.6189358586273069
1.9600000000000002e-05,0.8180401999999999,0.04457591,0.01763271,0.721003,3.089474,5.064315000000001,0.7398744,1.339939,2.306003e-06,224.0,0.9365883710048972
1.9600000000000002e-05,1.252008,0.09460788,0.01881388,-2.0120299999999998,0.8272511999999999,0.9581301999999999,1.4008969999999998,2.291852,4.238074e-07,261.0,0.5828175712171023
1.9600000000000002e-05,1.452688,0.13782120000000003,0.05373467,-1.008153,0.7453803000000001,5.1527080000000005,1.7508720000000002,5.18119,9.396639000000001e-08,255.0,0.38012063061362944
2.15e-05,0.05911587,0.11902599999999999,0.06207655,1.323179,2.365776,5.528025,0.01437327,2.05813,2.661648e-06,0.0,0.9660180877953783
2.15e-05,0.0919943,0.2425424,0.01318977,1.552355,1.7752459999999999,4.732583999999999,0.02790231,1.888869,2.8718669999999997e-06,37.0,0.9963743078185523
2.15e-05,0.1450287,0.04518993,0.01839407,-1.242901,2.290613,4.790825,0.05523051,3.694267,3.310266e-06,78.0,1.0609890999151284
2.15e-05,0.22173400000000001,0.04449718,0.03007206,1.9422549999999998,0.3851967,5.894798000000001,0.10441099999999999,3.532374,1.94886e-06,123.0,0.8808944983882678
2.15e-05,0.3609065,0.02816871,0.04891859,-1.758964,0.8854379000000001,4.312130000000001,0.21681479999999997,5.134716,3.711421e-06,126.0,1.0881140875060358
2.15e-05,0.49466570000000004,0.08133427,0.02930658,-0.8684351,0.3698103,3.4196269999999998,0.3479079,3.8121620000000003,1.6753039999999998e-06,188.0,0.8571660061131412
2.15e-05,0.6868265,0.07603674,0.04595466,-2.696103,5.5563970000000005,5.006943,0.5692020999999999,2.267616,2.4594890000000002e-06,213.0,0.9452854518245346
2.15e-05,0.9242671999999998,0.1076537,0.08627226,0.9938906,3.1134630000000003,1.511007,0.8885708000000001,3.586899,1.127321e-06,240.0,0.7751793044289671
2.15e-05,1.315245,0.08105357,0.04765323,0.8719462,2.109944,4.626323999999999,1.508361,1.804223,7.145176999999999e-07,253.0,0.6842165518945951
2.15e-05,1.749866,0.2669438,0.10913189999999999,1.420142,0.04856414,4.176499,2.314743,2.878977,1.232253e-07,268.0,0.42463841123771634
2.36e-05,0.05063505,0.07466325,0.06009646,-2.739902,3.3255839999999997,6.110094999999999,0.011394,5.414455,2.467037e-06,0.0,0.9232681293908562
2.36e-05,0.07168415,0.07679384,0.06766845,-1.9994439999999998,1.564522,4.966519,0.019192599999999997,5.275547,1.8749459999999998e-06,31.0,0.9072675936553825
2.36e-05,0.09429598,0.0684836,0.04550021,1.95775,4.215967,3.09997,0.02895599,3.200886,2.072492e-06,50.0,0.9160962668367686
2.36e-05,0.128808,0.1034665,0.12346259999999999,-2.796435,5.459498,3.7540739999999997,0.04622879,1.2849709999999999,2.026362e-06,82.0,0.9008144827685636
2.36e-05,0.1768514,0.08087177,0.01891288,2.44175,3.443507,1.624009,0.07437219,2.160898,2.484402e-06,106.0,0.9585537098670798
2.36e-05,0.2515208,0.03844643,0.04697749,2.474314,4.223177,4.145430999999999,0.1261415,3.690032,2.12231e-06,138.0,0.9333640146182769
2.36e-05,0.3301308,0.04867993,0.02930854,-1.290476,4.231885,2.612835,0.1896818,5.921285,2.291753e-06,162.0,0.9339650260115131
2.36e-05,0.5661029000000001,0.01876144,0.02238425,1.785002,5.1151860000000005,5.730446,0.4259304,5.0785860000000005,5.331744e-06,185.0,1.1969704161729227
2.36e-05,1.074875,0.06106794,0.0775324,-0.46214220000000006,2.002698,0.5717962,1.114377,5.209418,1.4524260000000001e-06,244.0,0.8243872570136557
2.36e-05,1.3689069999999999,0.1367405,0.1540134,-0.304504,3.012918,0.46854819999999997,1.601608,3.8506110000000002,5.018684e-07,243.0,0.6105611916399967
2.36e-05,1.422568,0.26875,0.23140389999999997,1.461842,3.6901230000000003,1.7719779999999998,1.6966990000000002,2.9985880000000003,1.377683e-07,272.0,0.4438433330278214
2.6000000000000002e-05,0.05583826,0.00629187,0.06814062,3.1003580000000004,2.974539,0.1706566,0.01319464,0.3836341,1.8247900000000002e-06,0.0,0.8915071447557854
2.6000000000000002e-05,0.07397375,0.0038912070000000003,0.03886962,2.774269,5.186525,0.3842603,0.02011943,4.982341,2.133961e-06,18.0,0.907290501851868
2.6000000000000002e-05,0.09318237,0.06473617,0.0277611,-2.88786,4.165776999999999,2.603173,0.02844458,1.4530129999999999,1.3507089999999999e-06,41.0,0.8133735903024546
